OrderDate,OrderNumber,ProductKey,CustomerKey,TerritoryKey,OrderQuantity
1/01/2017,SO61285,529,23791,1,2
1/01/2017,SO61285,214,23791,1,1
1/01/2017,SO61285,540,23791,1,1
1/01/2017,SO61301,529,16747,1,2
1/01/2017,SO61301,377,16747,1,1
1/01/2017,SO61301,540,16747,1,1
1/01/2017,SO61269,215,11792,4,1
1/01/2017,SO61269,229,11792,4,1
1/01/2017,SO61310,538,13541,8,2
1/01/2017,SO61310,584,13541,8,1
1/01/2017,SO61270,485,18259,9,2
1/01/2017,SO61289,528,23694,1,2
1/01/2017,SO61289,536,23694,1,2
1/01/2017,SO61289,215,23694,1,1
1/01/2017,SO61305,583,20236,9,1
1/01/2017,SO61283,529,26273,1,2
1/01/2017,SO61283,538,26273,1,2
1/01/2017,SO61283,220,26273,1,1
1/01/2017,SO61272,480,21239,9,2
1/01/2017,SO61272,528,21239,9,2
1/01/2017,SO61276,223,17252,9,3
1/01/2017,SO61276,488,17252,9,1
1/01/2017,SO61294,477,17396,4,2
1/01/2017,SO61294,484,17396,4,2
1/01/2017,SO61274,223,27148,9,3
1/01/2017,SO61274,475,27148,9,1
1/01/2017,SO61307,215,20260,9,1
1/01/2017,SO61307,582,20260,9,1
1/01/2017,SO61271,538,20454,9,2
1/01/2017,SO61271,480,20454,9,1
1/01/2017,SO61295,480,14751,1,2
1/01/2017,SO61295,528,14751,1,2
1/01/2017,SO61284,480,27477,4,2
1/01/2017,SO61284,538,27477,4,2
1/01/2017,SO61290,478,23011,4,2
1/01/2017,SO61290,477,23011,4,1
1/01/2017,SO61280,214,11891,4,1
1/01/2017,SO61309,354,13625,9,1
1/01/2017,SO61309,483,13625,9,1
1/01/2017,SO61302,477,14486,4,2
1/01/2017,SO61302,478,14486,4,2
1/01/2017,SO61302,362,14486,4,1
1/01/2017,SO61277,223,15050,8,2
1/01/2017,SO61277,490,15050,8,1
1/01/2017,SO61277,594,15050,8,1
1/01/2017,SO61299,528,12411,4,2
1/01/2017,SO61299,537,12411,4,1
1/01/2017,SO61306,477,23431,9,2
1/01/2017,SO61306,479,23431,9,2
1/01/2017,SO61306,580,23431,9,1
1/01/2017,SO61275,220,13996,9,1
1/01/2017,SO61282,480,11306,4,1
1/01/2017,SO61308,477,20246,9,2
1/01/2017,SO61308,479,20246,9,2
1/01/2017,SO61308,371,20246,9,1
1/01/2017,SO61300,477,13164,4,2
1/01/2017,SO61300,478,13164,4,2
1/01/2017,SO61300,485,13164,4,2
1/01/2017,SO61300,471,13164,4,1
1/01/2017,SO61293,477,18083,1,2
1/01/2017,SO61293,220,18083,1,1
1/01/2017,SO61293,232,18083,1,1
1/01/2017,SO61311,479,22466,7,2
1/01/2017,SO61311,606,22466,7,1
1/01/2017,SO61292,477,22012,4,2
1/01/2017,SO61292,478,22012,4,2
1/01/2017,SO61296,485,14996,8,2
1/01/2017,SO61312,566,29082,9,1
1/01/2017,SO61273,477,23430,9,2
1/01/2017,SO61281,539,28808,1,3
1/02/2017,SO61367,477,11099,9,2
1/02/2017,SO61367,479,11099,9,1
1/02/2017,SO61367,489,11099,9,1
1/02/2017,SO61367,575,11099,9,1
1/02/2017,SO61315,223,15146,9,2
1/02/2017,SO61315,529,15146,9,2
1/02/2017,SO61315,220,15146,9,1
1/02/2017,SO61315,490,15146,9,1
1/02/2017,SO61315,539,15146,9,1
1/02/2017,SO61370,214,11464,9,1
1/02/2017,SO61370,561,11464,9,1
1/02/2017,SO61332,528,25967,4,2
1/02/2017,SO61332,535,25967,4,2
1/02/2017,SO61351,485,11201,4,2
1/02/2017,SO61351,214,11201,4,1
1/02/2017,SO61351,537,11201,4,1
1/02/2017,SO61365,214,20683,4,1
1/02/2017,SO61365,582,20683,4,1
1/02/2017,SO61320,477,28943,9,2
1/02/2017,SO61320,478,28943,9,2
1/02/2017,SO61320,214,28943,9,1
1/02/2017,SO61362,480,13648,9,2
1/02/2017,SO61362,358,13648,9,1
1/02/2017,SO61342,528,12497,8,3
1/02/2017,SO61342,480,12497,8,2
1/02/2017,SO61342,537,12497,8,1
1/02/2017,SO61358,485,14456,1,2
1/02/2017,SO61358,354,14456,1,1
1/02/2017,SO61358,472,14456,1,1
1/02/2017,SO61369,565,29084,9,1
1/02/2017,SO61319,529,20262,9,3
1/02/2017,SO61319,480,20262,9,2
1/02/2017,SO61319,538,20262,9,2
1/02/2017,SO61364,223,24684,4,2
1/02/2017,SO61364,562,24684,4,1
1/02/2017,SO61359,354,14420,1,1
1/02/2017,SO61316,536,21187,9,3
1/02/2017,SO61316,480,21187,9,1
1/02/2017,SO61313,223,11427,8,3
1/02/2017,SO61313,220,11427,8,1
1/02/2017,SO61313,583,11427,8,1
1/02/2017,SO61328,490,11684,1,1
1/02/2017,SO61330,529,24394,4,2
1/02/2017,SO61330,540,24394,4,1
1/02/2017,SO61339,485,14409,4,2
1/02/2017,SO61339,472,14409,4,1
1/02/2017,SO61352,537,12135,4,1
1/02/2017,SO61366,477,14185,7,2
1/02/2017,SO61366,479,14185,7,2
1/02/2017,SO61366,487,14185,7,1
1/02/2017,SO61366,564,14185,7,1
1/02/2017,SO61340,478,13737,4,3
1/02/2017,SO61340,485,13737,4,3
1/02/2017,SO61340,477,13737,4,2
1/02/2017,SO61340,480,13737,4,2
1/02/2017,SO61324,220,25445,8,1
1/02/2017,SO61324,580,25445,8,1
1/02/2017,SO61345,528,20135,8,3
1/02/2017,SO61345,214,20135,8,1
1/02/2017,SO61345,536,20135,8,1
1/02/2017,SO61335,476,19864,1,1
1/02/2017,SO61347,462,21816,8,2
1/02/2017,SO61347,477,21816,8,1
1/02/2017,SO61347,490,21816,8,1
1/02/2017,SO61323,220,17848,8,1
1/02/2017,SO61323,580,17848,8,1
1/02/2017,SO61334,480,22239,4,2
1/02/2017,SO61334,536,22239,4,2
1/02/2017,SO61329,541,27065,4,3
1/02/2017,SO61329,530,27065,4,2
1/02/2017,SO61329,214,27065,4,1
1/02/2017,SO61348,530,23919,7,3
1/02/2017,SO61348,462,23919,7,2
1/02/2017,SO61348,541,23919,7,2
1/02/2017,SO61363,477,29201,4,2
1/02/2017,SO61363,479,29201,4,2
1/02/2017,SO61363,570,29201,4,1
1/02/2017,SO61344,528,17816,7,2
1/02/2017,SO61344,536,17816,7,2
1/02/2017,SO61344,480,17816,7,1
1/02/2017,SO61368,220,11904,9,1
1/02/2017,SO61368,576,11904,9,1
1/02/2017,SO61371,606,27515,9,1
1/02/2017,SO61357,536,14581,1,3
1/02/2017,SO61357,462,14581,1,2
1/02/2017,SO61357,528,14581,1,2
1/02/2017,SO61357,215,14581,1,1
1/02/2017,SO61357,587,14581,1,1
1/02/2017,SO61326,484,16422,8,3
1/02/2017,SO61326,377,16422,8,1
1/02/2017,SO61356,590,14580,4,1
1/02/2017,SO61338,528,16720,4,2
1/02/2017,SO61338,215,16720,4,1
1/02/2017,SO61336,482,19876,4,2
1/02/2017,SO61336,474,19876,4,1
1/02/2017,SO61321,466,14319,9,3
1/02/2017,SO61321,235,14319,9,1
1/02/2017,SO61350,214,11280,1,1
1/02/2017,SO61350,528,11280,1,1
1/02/2017,SO61350,537,11280,1,1
1/02/2017,SO61360,528,12041,1,2
1/02/2017,SO61360,220,12041,1,1
1/02/2017,SO61360,235,12041,1,1
1/02/2017,SO61360,358,12041,1,1
1/02/2017,SO61360,537,12041,1,1
1/02/2017,SO61317,485,17355,9,2
1/02/2017,SO61322,480,12371,9,3
1/02/2017,SO61322,483,12371,9,1
1/02/2017,SO61318,485,18492,9,2
1/02/2017,SO61318,215,18492,9,1
1/02/2017,SO61327,223,15684,8,2
1/02/2017,SO61327,214,15684,8,1
1/02/2017,SO61327,358,15684,8,1
1/03/2017,SO61400,528,14375,1,2
1/03/2017,SO61400,215,14375,1,1
1/03/2017,SO61386,480,27609,4,2
